ano,mes_id,ent_fed_desc,sum
2018,1,Ciudad de Mexico,34869
2018,2,Ciudad de Mexico,30936
2018,3,Ciudad de Mexico,39007
2018,4,Ciudad de Mexico,45184
2018,5,Ciudad de Mexico,43373
2018,6,Ciudad de Mexico,54128
2018,7,Ciudad de Mexico,24199
2018,8,Ciudad de Mexico,40822
2018,9,Ciudad de Mexico,54365
2018,10,Ciudad de Mexico,47991
2018,11,Ciudad de Mexico,27892
2018,12,Ciudad de Mexico,41467
2019,13,Ciudad de Mexico,54094
2019,14,Ciudad de Mexico,36845
2019,15,Ciudad de Mexico,38373
2019,16,Ciudad de Mexico,52591
2019,17,Ciudad de Mexico,40843
2019,18,Ciudad de Mexico,39189
2019,19,Ciudad de Mexico,45171
2019,20,Ciudad de Mexico,48664
2019,21,Ciudad de Mexico,31414
2019,22,Ciudad de Mexico,38564
2019,23,Ciudad de Mexico,25675
2019,24,Ciudad de Mexico,35746
2020,25,Ciudad de Mexico,44110
2020,26,Ciudad de Mexico,37074
2020,27,Ciudad de Mexico,38634
2020,28,Ciudad de Mexico,33122
2020,29,Ciudad de Mexico,43303
2020,30,Ciudad de Mexico,33247
2020,31,Ciudad de Mexico,49513
2020,32,Ciudad de Mexico,45562
2020,33,Ciudad de Mexico,37574
2020,34,Ciudad de Mexico,43676
2020,35,Ciudad de Mexico,40386
2020,36,Ciudad de Mexico,41306
