ano,mes_id,sum
2018,1,538960
2018,2,551314
2018,3,570424
2018,4,596262
2018,5,595681
2018,6,576306
2018,7,611637
2018,8,608597
2018,9,534235
2018,10,518722
2018,11,541795
2018,12,497804
2019,13,589171
2019,14,577928
2019,15,560958
2019,16,567002
2019,17,590966
2019,18,612613
2019,19,570495
2019,20,548176
2019,21,562571
2019,22,588850
2019,23,487621
2019,24,520145
2020,25,547885
2020,26,529959
2020,27,484286
2020,28,553943
2020,29,520233
2020,30,566079
2020,31,561199
2020,32,525462
2020,33,543567
2020,34,540234
2020,35,578163
2020,36,532938
